m/z	I	S/N	Res.	I %	
562.18439	5624668	17.2	230097	0.4	
563.08315	2786466	7.6	211227	0.2	
563.11957	5391535	16.4	213784	0.4	
563.14068	3367095	9.6	234142	0.3	
563.15589	12930236	42.0	215551	1.0	
563.17687	6616260	20.6	218429	0.5	
563.19227	22629578	74.9	216359	1.7	
564.12732	4879899	14.7	197509	0.4	
564.14886	2673187	7.2	248192	0.2	
564.15925	3769894	10.9	203518	0.3	
564.16375	8449576	26.8	212474	0.6	
564.19576	6958644	21.8	201930	0.5	
564.20013	5633589	17.3	215493	0.4	
565.09865	3531640	10.1	211285	0.3	
565.13517	8904581	28.4	225063	0.7	
565.15624	3868557	11.3	202530	0.3	
565.17156	22572946	74.7	214241	1.7	
565.19263	4896666	14.8	225941	0.4	
565.20795	20443040	67.5	215260	1.5	
566.10680	3074274	8.6	255885	0.2	
566.14296	7526639	23.7	207410	0.6	
566.16418	2895607	8.0	176238	0.2	
566.17484	7201018	22.6	198492	0.5	
566.17945	10146044	32.6	207348	0.8	
566.21132	5923080	18.2	218566	0.4	
567.11440	4500042	13.4	229764	0.3	
567.15079	13734487	44.8	213474	1.0	
567.17189	6455903	20.1	212415	0.5	
567.17736	3973729	11.6	270419	0.3	
567.18718	57135716	192.0	212723	4.3	
567.20858	2827884	7.7	198366	0.2	
567.22365	4215409	12.5	220832	0.3	
568.12235	5542834	17.0	221253	0.4	
568.15866	12116926	39.3	212097	0.9	
568.18026	2599878	7.0	190973	0.2	
568.19052	17322954	56.9	208503	1.3	
568.19502	5776332	17.7	184281	0.4	
569.09341	2733323	7.3	191035	0.2	
569.12985	6788376	20.9	217194	0.5	
569.14492	2572573	6.8	236205	0.2	
569.16648	20321572	66.3	212333	1.5	
569.19370	2744110	7.4	184553	0.2	
569.20286	22385970	73.2	214965	1.7	
570.10138	4030064	11.7	242549	0.3	
570.13792	6565501	20.2	213427	0.5	
570.16982	5832328	17.7	187786	0.4	
570.17429	10970761	34.9	218383	0.8	
570.20631	6194837	18.9	212509	0.5	
570.21064	3304086	9.2	226947	0.3	
571.08842	5119948	15.3	218640	0.4	
571.10946	5646292	17.1	214283	0.4	
571.14572	9385952	29.6	217944	0.7	
571.16098	6227942	19.0	229298	0.5	
571.18212	28211182	92.7	213600	2.1	
571.18703	2670575	7.1	306196	0.2	
571.21844	10946554	34.8	218615	0.8	
572.08083	2810154	7.6	214241	0.2	
572.11720	4464951	13.1	240409	0.3	
572.14967	2643266	7.0	214570	0.2	
572.15347	6914372	21.3	225026	0.5	
572.16893	3724617	10.6	202428	0.3	
572.18538	9107791	28.7	195648	0.7	
572.18997	6248784	19.1	196666	0.5	
572.22186	3273052	9.1	184029	0.2	
572.46563	4792753	14.2	210359	0.4	
573.08835	3590796	10.2	228220	0.3	
573.12506	3771033	10.8	231642	0.3	
573.14015	3742366	10.7	215438	0.3	
573.16135	9431717	29.8	218046	0.7	
573.17658	14416555	46.5	215809	1.1	
573.19772	15104690	48.8	219325	1.1	
573.23419	3191487	8.9	214380	0.2	
573.46883	2563857	6.8	230332	0.2	
574.13273	3130361	8.7	231607	0.2	
574.14795	4206591	12.3	200013	0.3	
574.16460	3125253	8.6	163665	0.2	
574.16913	4105222	11.9	199477	0.3	
574.18001	4611082	13.6	209813	0.3	
